Market Name,Market ID,User ID,First Name,Last Name,Username,Email,Question Title,Question ID,Outcome Title,Outcome ID,Order ID,Order Quantity,Order Type,Order Cost,Placed Successfully,Date
Replicator Market,14,2794,[omitted],[omitted],[omitted],[omitted],"Hypothesis 8, Alter and Oppenheimer, “Effects of fluency on psychological distance and mental construal (or why New York is a large city, but New York is a civilized jungle)”, Psychological Science",184,No,592,4804,1.990098929,buy,100,TRUE,2012-11-09 10:08:00 UTC
Replicator Market,14,2795,[omitted],[omitted],[omitted],[omitted],"Hypothesis 1, Richeson and Trawalter, “The threat of appearing prejudiced and race-based attentional biases”, Psychological Science",200,No,624,4805,19.09028289,buy,1000,TRUE,2012-11-09 10:08:20 UTC
Replicator Market,14,2794,[omitted],[omitted],[omitted],[omitted],"Hypothesis 15, Masicampo and Baumeister, “Toward a physiology of dual-process reasoning and judgment: Lemonade, willpower, and expensive rule-based analysis”, Psychological Science",191,Yes,605,4806,19.09028289,buy,1000,TRUE,2012-11-09 10:08:41 UTC
Replicator Market,14,2795,[omitted],[omitted],[omitted],[omitted],"Hypothesis 16, Janssen et al., “Semantic interference in a delayed naming task: Evidence for the response exclusion hypothesis”, JEPLMC",192,Yes,607,4807,83.17965658,buy,5000,TRUE,2012-11-09 10:09:06 UTC
Replicator Market,14,2795,[omitted],[omitted],[omitted],[omitted],"Hypothesis 23, Sahakyan et al., “Intentional forgetting is easier after two"" shots"" than one”, JEPLMC",199,Yes,621,4808,19.09028289,buy,1000,TRUE,2012-11-09 10:09:33 UTC
Replicator Market,14,2794,[omitted],[omitted],[omitted],[omitted],"Hypothesis 15, Masicampo and Baumeister, “Toward a physiology of dual-process reasoning and judgment: Lemonade, willpower, and expensive rule-based analysis”, Psychological Science",191,Yes,605,4809,19.09028289,sell,1000,TRUE,2012-11-09 10:09:36 UTC
Replicator Market,14,2795,[omitted],[omitted],[omitted],[omitted],"Hypothesis 19, Vul et al., “Temporal selection is suppressed, delayed, and diffused during the attentional blink”, Psychological Science",195,Yes,613,4810,19.09028289,buy,1000,TRUE,2012-11-09 10:10:10 UTC
Replicator Market,14,2794,[omitted],[omitted],[omitted],[omitted],"Hypothesis 15, Masicampo and Baumeister, “Toward a physiology of dual-process reasoning and judgment: Lemonade, willpower, and expensive rule-based analysis”, Psychological Science",191,No,606,4811,19.09028289,buy,1000,TRUE,2012-11-09 10:10:18 UTC
Replicator Market,14,2794,[omitted],[omitted],[omitted],[omitted],"Hypothesis 22, Bressan and Stranieri, “The best men are (not always) already taken”, Psychological Science",198,No,620,4812,5.912615182,buy,300,TRUE,2012-11-09 10:10:46 UTC
Replicator Market,14,2795,[omitted],[omitted],[omitted],[omitted],"Hypothesis 8, Alter and Oppenheimer, “Effects of fluency on psychological distance and mental construal (or why New York is a large city, but New York is a civilized jungle)”, Psychological Science",184,No,592,4813,9.670187743,buy,500,TRUE,2012-11-09 10:10:34 UTC
Replicator Market,14,2795,[omitted],[omitted],[omitted],[omitted],"Hypothesis 11, Nairne et al., “Adaptive Memory”, Psychological Science",187,No,598,4814,28.04070375,buy,1500,TRUE,2012-11-09 10:10:57 UTC
Replicator Market,14,2794,[omitted],[omitted],[omitted],[omitted],"Hypothesis 14, Pleskac, “Decision making and learning while taking sequential risks”, JEPLMC",190,Yes,603,4815,7.84613488,buy,400,TRUE,2012-11-09 10:11:34 UTC
Replicator Market,14,2793,[omitted],[omitted],[omitted],[omitted],"Hypothesis 1, Richeson and Trawalter, “The threat of appearing prejudiced and race-based attentional biases”, Psychological Science",200,No,624,4816,1.818734741,buy,100,TRUE,2012-11-09 10:12:22 UTC
Replicator Market,14,2794,[omitted],[omitted],[omitted],[omitted],"Hypothesis 23, Sahakyan et al., “Intentional forgetting is easier after two"" shots"" than one”, JEPLMC",199,Yes,621,4817,1.818734741,buy,100,TRUE,2012-11-09 10:12:43 UTC
Replicator Market,14,2794,[omitted],[omitted],[omitted],[omitted],"Hypothesis 1, Richeson and Trawalter, “The threat of appearing prejudiced and race-based attentional biases”, Psychological Science",200,No,624,4818,5.369522845,buy,300,TRUE,2012-11-09 10:13:20 UTC
